input,output
correct: وہ صبح جلدی اٹھ کر ناشتا تیار کرتی ہیں,وہ صبح جلدی اٹھ کر ناشتا تیار کرتی ہے
correct: پتنگ اڑائی ہم نے کل چھت پر مل کر,ہم نے کل مل کر چھت پر پتنگ اڑائی
correct: سوز خوانی کی معطر نے روح کو محفل کر دیا,سوز خوانی کی محفل نے روح کو معطر کر دیا
correct: میں نے ایک بہت دلچسپ ادبی مضمون پڑھا جو جدید ادب پر مبنی تھا,میں نے ایک دلچسپ ادبی مضمون پڑھا جو جدید ادب پر مبنی تھا
correct: گاہک کو خراب پراڈکٹ کی رقم واپس کر دی گیا,گاہک کو خراب پراڈکٹ کی رقم واپس کر دی گئی
correct: اس موبائل فون کی بیٹری پورے دن چلتا ہے,اس موبائل فون کی بیٹری پورے دن چلتی ہے
correct: ٹیم نے رپورٹ بنائی کل میٹنگ,ٹیم نے کل میٹنگ کے لیے رپورٹ بنائی
correct: ٹیم کے لوگ کام مکمل کر رہا ہے,ٹیم کے لوگ کام مکمل کر رہے ہیں
correct: فٹبال میچ میچ کے بعد کھلاڑیوں نے ایک دوسرے سے مصافحہ کیا,فٹبال میچ کے بعد کھلاڑیوں نے ایک دوسرے سے مصافحہ کیا
correct: ایچ آر نے ملازمین ای میل بھیجی,ایچ آر نے ملازمین کو ای میل بھیجی
correct: اماں نے بھیجا کھانا رشتہ داروں کے گھر,اماں نے رشتہ داروں کے گھر کھانا بھیجا
correct: وہ کافی پیتی ہیں روزانہ صبح,وہ کافی پیتی ہے روزانہ صبح
correct: بچے باہر گئے اور نکلے,بچے باہر گئے
correct: ہم نے ادبی ادبی میلے میں بہت سے مصنفین سے ملاقات کی,ہم نے ادبی میلے میں بہت سے مصنفین سے ملاقات کی
correct: چکن کڑاہی کے ساتھ خمیری روٹی بہترین تھا,چکن کڑاہی کے ساتھ خمیری روٹی بہترین تھی
correct: اداکارہ نے اپنی میں فلم کارکردگی سے سب کو متاثر کیا,اداکارہ نے فلم میں اپنی کارکردگی سے سب کو متاثر کیا
correct: میں نے امتحان دیا اور دیا,میں نے امتحان دیا
correct: فوک گلوکار نے دیہاتی انداز گانا گایا,فوک گلوکار نے دیہاتی انداز میں گانا گایا
correct: امی نے کہانا تیار کیا,امی نے کھانا تیار کیا
correct: ڈیپارٹمنٹ نے نے تعلیمی کانفرنس کا انعقاد کیا,ڈیپارٹمنٹ نے تعلیمی کانفرنس کا انعقاد کیا
correct: ہم نے دفتر میں نئی فائلیں ترتیب دیں,ہم نے نئی فائلیں دفتر میں ترتیب دیں
correct: میری کے نے دوپہر امی لیے بریانی بنائی ہے,میری امی نے دوپہر کے لیے بریانی بنائی ہے
correct: لگیں تعریفیں کھلاڑی کو تماشائیوں کی,تماشائیوں کی تعریفیں کھلاڑی کو لگیں
correct: فلائنگ کوچ نے اسلام آباد سے سکردو تک کا کا سفر آسان کر دیا,فلائنگ کوچ نے اسلام آباد سے سکردو تک کا سفر آسان کر دیا
correct: میں نے سالن کھایا دوپہر,میں نے دوپہر میں سالن کھایا
correct: ہم سب نے مل کر کھانا کھایا تھا اور بہت مزہ آیا تھا سب کو,ہم سب نے مل کر کھانا کھایا اور سب کو بہت مزہ آیا
correct: ہم نے بجٹ کی تفصیل اجلاس میں پیش کی,ہم نے اجلاس میں بجٹ کی تفصیل پیش کی
correct: اماں نے مجهے ڈانٹا,اماں نے مجھے ڈانٹا
correct: کمپنی نے نے سپلائرز کے ساتھ نئے معاہدے کیے,کمپنی نے سپلائرز کے ساتھ نئے معاہدے کیے
correct: ڈاکٹر نے دوا کے صحیح استعمال کا بتایا بتایا,ڈاکٹر نے دوا کے صحیح استعمال کا بتایا
correct: جناب میں آپ کو یہ اطلاع دینا چاہتا ہوں کہ میں کل دفتر نہیں آ سکوں گا کیونکہ مجھے ایک ضروری کام ہے,جناب، میں آپ کو اطلاع دینا چاہتا ہوں کہ ایک ضروری کام کی وجہ سے میں کل دفتر نہیں آ سکوں گا
correct: یہ جوس بہت میٹھا تھے,یہ جوس بہت میٹھا تھا
correct: کلائنٹ کے ساتھ معاہدے پر دستخط ہو گئی,کلائنٹ کے ساتھ معاہدے پر دستخط ہو گئے
correct: قہوہ پینے سے سے طبیعت تروتازہ ہو جاتی ہے,قہوہ پینے سے طبیعت تروتازہ ہو جاتی ہے
correct: لیے کو شکایت درج کروانے کے صارفین ہیلپ لائن دی گئی ہے,صارفین کو شکایت درج کروانے کے لیے ہیلپ لائن دی گئی ہے
correct: لاہور میں ہوا احتجاج بڑا,لاہور میں بڑا احتجاج ہوا
correct: پولیس نے رپورٹ فوری بھیجی,پولیس نے رپورٹ فوری طور پر بھیجی
correct: بچوں نے کہیل کھیلا,بچوں نے کھیل کھیلا
correct: میں نے کام مکمل کیا اور پورا کیا,میں نے کام مکمل کیا
correct: ہم نے کام کیا اور تھکا ہوا تھے,ہم نے کام کیا اور تھک گئے تھے
correct: اسلام آباد میں ہوئی ملاقات,اسلام آباد میں ملاقات ہوئی
correct: مجھے پتہ نہیں ہے کچھ بھی اس بارے میں,مجھے اس بارے میں کچھ بھی پتہ نہیں ہے
correct: کلاسیں شروع ہونے ہونے سے پہلے بچے کھیل رہے تھے,کلاسیں شروع ہونے سے پہلے بچے کھیل رہے تھے
correct: وہ سوتا ہے روز رات کو کتاب پڑھ کر,وہ روز رات کو کتاب پڑھ کر سوتا ہے
correct: ڈاکٹر نے مریض کو فوری علاج فراہم کیا,ڈاکٹر نے فوری علاج مریض کو فراہم کیا
correct: ڈاکٹر ڈاکٹر نے دوائیں تجویز کیں,ڈاکٹر نے دوائیں تجویز کیں
correct: ادبی محفل ہوئی Islamabad میں,اسلام آباد میں ادبی محفل ہوئی
correct: اس شاعر کی نظم بہت مشہور ہیں,اس شاعر کی نظم بہت مشہور ہے
correct: لیجنڈ اداکار تھیٹر میں شاندار پرفارمنس دی,لیجنڈ اداکار نے تھیٹر میں شاندار پرفارمنس دی
correct: ہوائی جہاز نے وقت پرواز بھری,ہوائی جہاز نے وقت پر پرواز بھری
correct: جسم کو خوراک توانائی فراہم کرتی ہے ہے,جسم کو خوراک توانائی فراہم کرتی ہے
correct: وکیل نے نے قانونی مشورہ دیا,وکیل نے قانونی مشورہ دیا
correct: وہ اپنے کپڑے خود دھوتی ہے ہے,وہ اپنے کپڑے خود دھوتی ہے
correct: ہم نے ہم نے پارک پارک میں بیٹھ کر بات کی,ہم نے پارک میں بیٹھ کر بات کی
correct: چپلی کباب پشاور مشہور ڈش ہے,چپلی کباب پشاور کی مشہور ڈش ہے
correct: وہ لڑکی کل قوالی سننے گیا تھا,وہ لڑکی کل قوالی سننے گئی تھی
correct: سردیوں میں گاجر کا حلوہ کھانا چاہیے ضرور,سردیوں میں گاجر کا حلوہ ضرور کھانا چاہیے
correct: بچے کھیل رہے تھے گھر کے باہر خوشی سے,بچے خوشی سے گھر کے باہر کھیل رہے تھے
correct: قدرتی مناظر نے دل کو بہت سکون دیاا,قدرتی مناظر نے دل کو بہت سکون دیا
correct: کلاسیکل موسیقی کی محفل نے سامعین کو کو مسحور کر دیا,کلاسیکل موسیقی کی محفل نے سامعین کو مسحور کر دیا
correct: وہ رکھتا ہے تیراکی میں مہارت,وہ تیراکی میں مہارت رکھتا ہے
correct: پروفیسر نے تحقیقی مقالے کی رہنمائی رہنمائی کی,پروفیسر نے تحقیقی مقالے کی رہنمائی کی
correct: یہ فلم بچوں کے لیے بہت مناسب ہیں,یہ فلم بچوں کے لیے بہت مناسب ہے
correct: میں نے موبائل پر وڈیو دیکھی کل رات,میں نے موبائل پر ویڈیو دیکھی کل رات
correct: یہ واشنگ مشین کپڑوں کو بہت اچہی طرح دھوتی ہے,یہ واشنگ مشین کپڑوں کو بہت اچھی طرح دھوتی ہے
correct: ڈاکٹر نے مریض معائنہ کیا کا تفصیلی,ڈاکٹر نے مریض کا تفصیلی معائنہ کیا
correct: طلبہ نے سائنس مختلف میں فیئر پراجیکٹس پیش کیے,طلبہ نے سائنس فیئر میں مختلف پراجیکٹس پیش کیے
correct: نیب نے بھرپور تحقیقات کے بعد ریفرنس دائر کی,نیب نے بھرپور تحقیقات کے بعد ریفرنس دائر کیا
correct: پروڈکشن تیار کیا ٹیم نے نئے پراڈکٹ کا پہلا نمونہ,پروڈکشن ٹیم نے نئے پراڈکٹ کا پہلا نمونہ تیار کیا
correct: وہ روزانہ شام کو سیر کے لیے نکلتا ہے,وہ روزانہ شام کو سیر کے لیے نکلتی ہے
correct: نوجوان ہدایت کار فلم بنائی نے مختصر,نوجوان ہدایت کار نے مختصر فلم بنائی
correct: اداکارہ نے فلم میں اپنی کارکردگی سے سے سب کو متاثر کیا,اداکارہ نے فلم میں اپنی کارکردگی سے سب کو متاثر کیا
correct: تفریحی زیادہ پر بہت مقام رش تھا,تفریحی مقام پر بہت زیادہ رش تھا
correct: میں نے لیکچر سن لیا مکمل طور پر,میں نے لیکچر سن لیا
correct: میں نے دودھ پیا لیکن وہ ٹھنڈی تھی,میں نے دودھ پیا لیکن وہ ٹھنڈا تھا
correct: ہم نے چائے پی ہوٹل,ہم نے ہوٹل میں چائے پی
correct: ہم کل فلم دیکھی اور مزہ آیا تھا,ہم نے کل فلم دیکھی اور مزہ آیا
correct: گلوکار نے اپنی اپنی آواز سے محفل کو مسحور کر دیا,گلوکار نے اپنی آواز سے محفل کو مسحور کر دیا
correct: میں کی دو گھنٹے ریاضی روزانہ مشق کرتا ہوں,میں روزانہ دو گھنٹے ریاضی کی مشق کرتا ہوں
correct: ہم نے فیصلہ کیا پروجیکٹ پر کل,ہم نے کل پروجیکٹ پر فیصلہ کیا
correct: وادی میں موسم بہت بہت خوشگوار تھا,وادی میں موسم بہت خوشگوار تھا
correct: میں نے موبائل چارج کیا اور چارجنگ لگائی,میں نے موبائل چارج کیا
correct: ادبی تقریب میں ملک بھر ادیب شریک ہوئے,ادبی تقریب میں ملک بھر کے ادیب شریک ہوئے
correct: میں نے رات کو بہت دیر تک موبائل استعمال کیا تھا اور سویا تھا دیر سے,میں نے رات کو بہت دیر تک موبائل استعمال کیا اور دیر سے سویا
correct: میری بہن نے خانہ صاف کیا اور گھر صاف کیا,میری بہن نے گھر صاف کیا
correct: کھیلتا رہا باہر وہ دوپہر تک,وہ دوپہر تک باہر کھیلتا رہا
correct: یونیورسٹی نے تحقیقی منصوبوں جاری کیے کے لیے فنڈز,یونیورسٹی نے تحقیقی منصوبوں کے لیے فنڈز جاری کیے
correct: میں نے سمجھا مشکل سبق بہت غور سے,میں نے بہت غور سے مشکل سبق سمجھا
correct: کوچ نے نے کھلاڑیوں کو نئی حکمت عملی سمجھائی,کوچ نے کھلاڑیوں کو نئی حکمت عملی سمجھائی
correct: محکمہ تعلیم نے نئے امتحانی شیڈول کا کا اعلان کیا,محکمہ تعلیم نے نئے امتحانی شیڈول کا اعلان کیا
correct: عالمی بینک نے نئی رپورٹ جاری کی ہے جو کہ اہم ہے,عالمی بینک نے نئی رپورٹ جاری کی
correct: امی نے سویاں پر میٹھی عید پکائیں,امی نے عید پر میٹھی سویاں پکائیں
correct: رات دیر تک جاگا وہ کام کر کے,وہ کام کر کے رات دیر تک جاگا
correct: بہن شام کی چائے کے ساتھ سموسے بنائے,بہن نے شام کی چائے کے ساتھ سموسے بنائے
correct: میرے ابو نے پیسے دیے اور رقم دی,میرے ابو نے پیسے دیے
correct: پاکستان نے معاہدہ کیا ہیں,پاکستان نے معاہدہ کیا ہے
correct: ہم نے جنریٹو اے آئی کورس میں کوڈ لکھا اور پھر ہم نے اس کو چلایا,ہم نے جنریٹو اے آئی کورس میں کوڈ لکھا اور پھر اسے چلایا
correct: انتخابی مہم میں تمام جماعتیں بڑھ چڑھ کر حصہ لے رہی ہیں ہیں,انتخابی مہم میں تمام جماعتیں بڑھ چڑھ کر حصہ لے رہی ہیں
correct: انتخابی مہم میں تمام جماعتیں رہی ہیں بڑھ چڑھ کر حصہ لے,انتخابی مہم میں تمام جماعتیں بڑھ چڑھ کر حصہ لے رہی ہیں
correct: یہ تحقیق انسان جسم سمجھنے مدد دیتی,یہ تحقیق انسانی جسم کو سمجھنے میں مدد دیتی ہے
correct: گاہکوں کی سہولت کے لیے دکان رات نو بجے تک کھلی رہتی ہیں,گاہکوں کی سہولت کے لیے دکان رات نو بجے تک کھلی رہتی ہے
correct: مقامی لوگوں نے نے سیاحوں کا گرمجوشی سے استقبال کیا,مقامی لوگوں نے سیاحوں کا گرمجوشی سے استقبال کیا
correct: آج میں نے بہت اچھا کھانا کھایا گھر میں,آج میں نے گھر میں بہت اچھا کھانا کھایا
correct: تھیٹر میں بیٹھے تھے لوگ خاموشی سے ڈراما شروع ہونے تک,لوگ تھیٹر میں ڈراما شروع ہونے تک خاموشی سے بیٹھے تھے
correct: قہوہ پینے سے طبیعت طبیعت تروتازہ ہو جاتی ہے,قہوہ پینے سے طبیعت تروتازہ ہو جاتی ہے
correct: وادی دلچسپ تھی کیلاش کی ثقافت بہت منفرد اور,وادی کیلاش کی ثقافت بہت منفرد اور دلچسپ تھی
correct: خود اپنے کپڑے وہ دھوتی ہے,وہ اپنے کپڑے خود دھوتی ہے
correct: ثقافتی میلے میں سٹال لگے مختلف صوبوں کے دستکاری,ثقافتی میلے میں مختلف صوبوں کے دستکاری سٹال لگے
correct: سیاحوں نے قدیم کھنڈرات کا دورہ کیا شہر کے باہر,سیاحوں نے شہر کے باہر قدیم کھنڈرات کا دورہ کیا
correct: میرا بیٹی نے گانا گایا,میری بیٹی نے گانا گایا
correct: ڈاکٹر نے علاج شروع کیا اور مریض بہتر ہو گیا جلدی,ڈاکٹر نے علاج شروع کیا اور مریض جلدی بہتر ہو گیا
correct: ہم نے کل شام کلاسیکی موسیقی کی محفل میں روح پرور دھنیں سنیں,ہم نے کل شام کلاسیکی موسیقی کی محفل میں دھنیں سنیں
correct: کیا محنت بہت کھلاڑی نے جیت کے لیے,کھلاڑی نے جیت کے لیے بہت محنت کی
correct: وہ صبح مسجد سے واپس آ کر قرآن پڑھتا ہیں,وہ صبح مسجد سے واپس آ کر قرآن پڑھتا ہے
correct: آج صبح بادل چھائے رہی,آج صبح بادل چھائے رہے
correct: کمپنی معاہدے کیے نے سپلائرز کے ساتھ نئے,کمپنی نے سپلائرز کے ساتھ نئے معاہدے کیے
correct: کھانے میں میں دہی کا رائتہ بہت اچھا لگتا ہے,کھانے میں دہی کا رائتہ بہت اچھا لگتا ہے
correct: ٹی شروع کیا وی چینل نے نیا تفریحی شو,ٹی وی چینل نے نیا تفریحی شو شروع کیا
correct: شاعرہ نے اپنی نئی غزل بہت نرم اور خوبصورت آواز میں سنائی,شاعرہ نے اپنی نئی غزل نرم اور خوبصورت آواز میں سنائی
correct: وہ کہتہا ہے کہ کل آئے گا,وہ کہتا ہے کہ کل آئے گا
correct: عدالت نے اہم مقدمے کا فیصلہ محفوظ کر لیاا,عدالت نے اہم مقدمے کا فیصلہ محفوظ کر لیا
correct: آج رات کو ہم کھانا کھائیں گے باہر,آج رات ہم باہر کھانا کھائیں گے
correct: مجھے دوائ لینی ہے,مجھے دوائی لینی ہے
correct: غزہ میں شدید بمباری ہو رہی ہیں,غزہ میں شدید بمباری ہو رہی ہے
correct: وہ کو شام روزانہ پارک میں سیر کرنے جاتا ہے,وہ روزانہ شام کو پارک میں سیر کرنے جاتا ہے
correct: میں نے لیکچر سنا تھا اور پھر میں نے نوٹس بھی بنائے تھے اس کے,میں نے لیکچر سنا اور نوٹس بنائے
correct: ٹیم نے پروجیکٹ کا کا تجزیہ کیا,ٹیم نے پروجیکٹ کا تجزیہ کیا
correct: وہ روز بہت تیز دوڑتا ہے اور کھیلتا ہیں,وہ روز بہت تیز دوڑتا ہے اور کھیلتا ہے
correct: طلبہ حصہ لیا نے گروپ ڈسکشن میں بڑھ چڑھ کر,طلبہ نے گروپ ڈسکشن میں بڑھ چڑھ کر حصہ لیا
correct: فنانس ڈیپارٹمنٹ نے ماہانہ رپورٹ تیار کر لی لی,فنانس ڈیپارٹمنٹ نے ماہانہ رپورٹ تیار کر لی
correct: میں میں نے کل کل بہت زیادہ زیادہ کھایا,میں نے کل بہت زیادہ کھایا
correct: ہوٹل کے کمرے کرایہ بہت مناسب تھا,ہوٹل کے کمرے کا کرایہ بہت مناسب تھا
correct: کالج کی سالانہ کھیلوں کی تقریب کا افتتاح ہو گئی,کالج کی سالانہ کھیلوں کی تقریب کا افتتاح ہو گیا
correct: تماشائیوں نے کیا شور بہت میچ کے دوران,تماشائیوں نے میچ کے دوران بہت شور کیا
correct: براہ کرم مجھے یہ بتائیں کہ مجھے اگلے مرحلے کے لیے کیا کرنا چاہیے اب,براہ کرم بتائیں کہ مجھے اگلے مرحلے کے لیے کیا کرنا چاہیے
correct: وہ صبح جلدی اٹھ اٹھ کر ناشتا تیار کرتی ہے,وہ صبح جلدی اٹھ کر ناشتا تیار کرتی ہے
correct: ٹیم نے وقت پر کام مکمل کیا ہے کل,ٹیم نے کل وقت پر کام مکمل کیا
correct: اس مشین کو چلانے کا طریقہ بہت آسان ہیں,اس مشین کو چلانے کا طریقہ بہت آسان ہے
correct: عید کیا گیا کے موقع پر خصوصی ڈرامہ پیش,عید کے موقع پر خصوصی ڈرامہ پیش کیا گیا
correct: مقامی لوگوں نے سیاحوں کا گرمجوشی استقبال کیا,مقامی لوگوں نے سیاحوں کا گرمجوشی سے استقبال کیا
correct: وہ روز صبح چائے پیتا ہے چائے نوشی کرتا ہے,وہ روز صبح چائے پیتا ہے
correct: میچ دلچسپ تھا اور تماشائی خوش,میچ دلچسپ تھا اور تماشائی خوش تھے
correct: آن لائن آرڈر کرنے پر مفت مفت ڈیلیوری کی سہولت ہے,آن لائن آرڈر کرنے پر مفت ڈیلیوری کی سہولت ہے
correct: اقوام متحدہ نے بلایا اجلاس,اقوام متحدہ نے اجلاس بلایا
correct: وہ عید لیے نئے کپڑے لینے بازار گئی,وہ عید کے لیے نئے کپڑے لینے بازار گئی
correct: آج آج موسم موسم بہت اچھا ہے,آج موسم بہت اچھا ہے
correct: وہ لوگ خوش ہے اپنی کامیابی پر,وہ لوگ اپنی کامیابی پر خوش ہیں
correct: کمپنی نے سالانہ جائزہ میٹنگ کا اعلان کر دیا دیا,کمپنی نے سالانہ جائزہ میٹنگ کا اعلان کر دیا
correct: بچوں نے دوپہر میں میں اپنا ہوم ورک مکمل کر لیا,بچوں نے دوپہر میں اپنا ہوم ورک مکمل کر لیا
correct: عدالت نے اہم اہم مقدمے کا فیصلہ محفوظ کر لیا,عدالت نے اہم مقدمے کا فیصلہ محفوظ کر لیا
correct: میں کی کلاس حیاتیات خلیے کی ساخت پڑھائی گئی,حیاتیات کی کلاس میں خلیے کی ساخت پڑھائی گئی
correct: مجھے آج ڈاکٹر کے پاس جانا ہے جانا ہے,مجھے آج ڈاکٹر کے پاس جانا ہے
correct: ہو رہا ہے ٹورنامنٹ جاری شہر میں,شہر میں ٹورنامنٹ جاری ہو رہا ہے
correct: گاہک نے پراڈکٹ کے بارے میں رائے دی دی,گاہک نے پراڈکٹ کے بارے میں رائے دی
correct: نئی اینیمیشن فلم بچوں میں بہت مقبول ہوا,نئی اینیمیشن فلم بچوں میں بہت مقبول ہوئی
correct: کر خانے نے ویزا کی درخواست منظور سفارت لی,سفارت خانے نے ویزا کی درخواست منظور کر لی
correct: یہ نمائش بہت شاندار تھے,یہ نمائش بہت شاندار تھی
correct: ہم نے امتحان دیا اور اس کا نتیجہ اچھا آئے,ہم نے امتحان دیا اور اس کا نتیجہ اچھا آیا
correct: طلبہ کو لائبریری میں جا کر حوالہ جاتی کتب کہا گیا دیکھنے کا,طلبہ کو لائبریری میں جا کر حوالہ جاتی کتب دیکھنے کا کہا گیا
correct: مریض کو فزیوتھراپی مشورہ دیا گیا,مریض کو فزیوتھراپی کا مشورہ دیا گیا
correct: میں نے دیکھا فلم دوست ساتھ,میں نے دوست کے ساتھ فلم دیکھی
correct: ہم نے دفتر میں نئے سسٹم کی انسٹالیشن مکمل کی کامیابی سے,ہم نے دفتر میں نئے سسٹم کی انسٹالیشن کامیابی سے مکمل کی
correct: ادیب نے بیان کی انسانی جذبات کی کہانی خوبصورتی سے,ادیب نے انسانی جذبات کی کہانی خوبصورتی سے بیان کی
correct: پروڈکشن ٹیم تیار کیا نے نئے پراڈکٹ کا پہلا نمونہ,پروڈکشن ٹیم نے نئے پراڈکٹ کا پہلا نمونہ تیار کیا
correct: میں نے کل ایک مشہور افسانہ پڑھی,میں نے کل ایک مشہور افسانہ پڑھا
correct: فٹ بالر بالر نے خوبصورت گول کیا,فٹ بالر نے خوبصورت گول کیا
correct: ہوائی جہاز نے وقت پرواز بھری پر,ہوائی جہاز نے وقت پر پرواز بھری
correct: وزیر خارجہ نے کیا دورہ,وزیر خارجہ نے دورہ کیا
correct: عید کے موقع پر خصوصی ڈرامہ پیش کیا گیا گیا,عید کے موقع پر خصوصی ڈرامہ پیش کیا گیا
correct: فلسطین میں بڑھ رہی ہے انسانی بحران,فلسطین میں انسانی بحران بڑھ رہی ہے
correct: ہم نے رپورٹ تیار کیا ہے,ہم نے رپورٹ تیار کی ہے
correct: سفارت خانے درخواست ویزا کی نے منظور کر لی,سفارت خانے نے ویزا کی درخواست منظور کر لی
correct: فلم کی ہدایت کاری میں تخلیقی جدت اور فنی مہارت نمایاں تھی,فلم کی ہدایت کاری میں مہارت نمایاں تھی
correct: فائلیں صحیح طریقے سے ترتیب دیا گیا ہے,فائلیں صحیح طریقے سے ترتیب دی گئی ہیں
correct: سیاحوں نے دریا کے کنارے بیٹھا تھا,سیاح دریا کے کنارے بیٹھے تھے
correct: میں جمع دفتر میں حاضر ہو کر رپورٹ کل کرا دوں گا,میں کل دفتر میں حاضر ہو کر رپورٹ جمع کرا دوں گا
correct: میں نے دوا لی ڈاکٹر کی ہدایت کے مطابق صبح,میں نے ڈاکٹر کی ہدایت کے مطابق صبح دوا لی
correct: وہ گھر سے نکلا اور سڑک پر چلی گئی,وہ گھر سے نکلا اور سڑک پر چلا گیا
correct: لیجنڈ اداکار نے تھیٹر تھیٹر میں شاندار پرفارمنس دی,لیجنڈ اداکار نے تھیٹر میں شاندار پرفارمنس دی
correct: امی سویاں پکائیں نے عید پر میٹھی,امی نے عید پر میٹھی سویاں پکائیں
correct: میں نے آرٹ گیلری میں بہت خوبصورت اور جدید پینٹنگز دیکھیں,میں نے آرٹ گیلری میں خوبصورت جدید پینٹنگز دیکھیں
correct: ہم نے آن لائن شاپنگ شاپنگ ویب سائٹ سے کتابیں منگوائیں,ہم نے آن لائن شاپنگ ویب سائٹ سے کتابیں منگوائیں
correct: یہ موبائل موبائل فون بہترین بیٹری لائف رکھتا ہے,یہ موبائل فون بہترین بیٹری لائف رکھتا ہے
correct: وہ روز اسکول جاتی ہے اور پڑھتا ہے,وہ روز اسکول جاتی ہے اور پڑھتی ہے
correct: میں نے ایگزام کی تیاری کی اور تیاری کی,میں نے ایگزام کی تیاری کی
correct: مقامی بازار سے تحائف خریدے ہم نے,مقامی بازار سے ہم نے تحائف خریدے
correct: شاعرہ نے غزل بہت خوبصورت انداز پیش کی,شاعرہ نے غزل کو بہت خوبصورت انداز میں پیش کی
correct: آن لائن لائن آرڈر کرنے پر مفت ڈیلیوری کی سہولت ہے,آن لائن آرڈر کرنے پر مفت ڈیلیوری کی سہولت ہے
correct: کرکٹر نے سینچری مدد کی بنا کر میچ جتوانے میں,کرکٹر نے سینچری بنا کر میچ جتوانے میں مدد کی
correct: ایمیزون پرائم کے ممبران کو مفت ملتی ہے ڈیلیوری,ایمیزون پرائم کے ممبران کو مفت ڈیلیوری ملتی ہے
correct: کتاب میلہ لگا اسلام آباد میں بڑا,اسلام آباد میں بڑا کتاب میلہ لگا
correct: چائے پیو گرم ہے ابھی,ابھی گرم چائے پیو
correct: لیبارٹری میں طلبہ نے کیمیکل تجربہ کیا کیا,لیبارٹری میں طلبہ نے کیمیکل تجربہ کیا
correct: بھانجے نے کیا فون مجھے رات کو,بھانجے نے رات کو مجھے فون کیا
correct کھلاڑی روزانہ صبح سویرے اٹھ کر ٹریننگ کرتا ہے جو اس کی فٹنس کے لیے بہت اچھا ہے,کھلاڑی روزانہ صبح سویرے ٹریننگ کرتا ہے
correct: ریویو لکھا نئے ناول کا نقاد نے,نقاد نے نئے ناول کا ریویو لکھا
correct: آج موسم بہت ٹھنڈ باہر,آج موسم باہر بہت ٹھنڈا ہے
correct: ٹیم نے کام کیا ہے اور مکمل تھا,ٹیم نے کام کیا ہے اور مکمل کیا ہے
correct: عید کے موقع پر خصوصی ڈرامہ پیش پیش کیا گیا,عید کے موقع پر خصوصی ڈرامہ پیش کیا گیا
correct: وہ لوگ موسیقی کے پروگرام میں گیا تھا,وہ لوگ موسیقی کے پروگرام میں گئے تھے
correct: آج گھر میں مہمان آئے اچانک,آج اچانک گھر میں مہمان آ گئے
correct: سیاحوں نے جھیل کے کنارے تصاویر بنائیں خوبصورت یادگار,سیاحوں نے جھیل کے کنارے خوبصورت یادگار تصاویر بنائیں
correct: مقابلے میں شرکت کے لیے روانہ ہوگی ٹیم کل,مقابلے میں شرکت کے لیے ٹیم کل روانہ ہوگی
correct: چکن کڑاہی کے ساتھ خمیری روٹی روٹی بہترین تھی,چکن کڑاہی کے ساتھ خمیری روٹی بہترین تھی
correct: مہمانوں کے لیے لیے قورمہ اور نان کا اہتمام کیا گیا,مہمانوں کے لیے قورمہ اور نان کا اہتمام کیا گیا
correct: ہم نے سفر پہاڑوں میں خوبصورت نظارہ کیا,ہم نے سفر کے دوران پہاڑوں میں خوبصورت نظارہ کیا
correct: وہ شادی کر لی اور نکاح ہو گیا,اس کی شادی ہو گئی
correct: بس میں ہم تھے اور سفر بہت لمبا تھا تھکا دینے والا,ہم بس میں تھے اور سفر بہت لمبا اور تھکا دینے والا تھا
correct: وہ پہاڑوں چوٹی تک ٹریکنگ کر کے گیا,وہ پہاڑوں کی چوٹی تک ٹریکنگ کر کے گیا
correct: جھیل کے اور کا رنگ نیلا پانی صاف تھا,جھیل کے پانی کا رنگ نیلا اور صاف تھا
correct: ڈاکٹر نے مریض کی مکمل رپورٹ لکھی لکھی,ڈاکٹر نے مریض کی مکمل رپورٹ لکھی
correct: بھابھی نے نے صحن میں رنگولی بنائی,بھابھی نے صحن میں رنگولی بنائی
correct: گلوکارہ نے اپنی نئی البم کے تمام گانے بہت خوبصورت انداز میں ریکارڈ کیے ہیں,گلوکارہ نے اپنی نئی البم کے گانے خوبصورت انداز میں ریکارڈ کیے ہیں
correct: ہم نے چائے اور بسکٹ کھایا,ہم نے چائے اور بسکٹ کھائے
correct: مریض کو اسپتال فوری منتقل کیا گیا,مریض کو اسپتال میں فوری منتقل کیا گیا
correct: سالن لیموں کا رس ڈالنے سے ذائقہ بڑھ جاتا ہے,سالن میں لیموں کا رس ڈالنے سے ذائقہ بڑھ جاتا ہے
correct: وزیر صحت نے ہسپتالوں کی حالت حالت بہتر بنانے کا وعدہ کیا,وزیر صحت نے ہسپتالوں کی حالت بہتر بنانے کا وعدہ کیا
correct: ٹورنمنٹ میں حصہ لیا,ٹورنامنٹ میں حصہ لیا
correct: وہ سبح ناشتے میں پراٹھا اور چائے لیتا ہے,وہ صبح ناشتے میں پراٹھا اور چائے لیتا ہے
correct: میں FAST یونیورسٹی میں داخلہ لیا ہے,میں نے FAST یونیورسٹی میں داخلہ لیا ہے
correct: چکن کڑاہی کے کے ساتھ خمیری روٹی بہترین تھی,چکن کڑاہی کے ساتھ خمیری روٹی بہترین تھی
correct: دیکھ رہے ہیں سب فائنل میچ ٹی وی پر,سب ٹی وی پر فائنل میچ دیکھ رہے ہیں
correct: طلبہ نے کیا سوالات استاد سے کلاس میں,طلبہ نے کلاس میں استاد سے سوالات کیے
